process_count,teilSudokus,loesungs_zeit,gesamt_zeit
1,1,2.171734,2.171746
1,1,2.192479,2.192492
1,1,2.179331,2.179355
1,1,2.183961,2.183980
2,6,2.176847,2.177233
2,6,2.183780,2.184663
2,6,2.213000,2.214091
2,6,2.162520,2.163416
4,6,2.178451,2.179050
4,6,2.184654,2.185466
4,6,2.167424,2.167827
4,6,2.161788,2.162537
8,20,2.175394,2.176853
8,20,2.180998,2.182787
8,20,2.188636,2.190313
8,20,2.236904,2.237957
16,20,2.187742,2.189121
16,20,2.171988,2.173742
16,20,2.228191,2.229659
16,20,2.175634,2.176912
32,32,0.047558,2.142408
32,32,0.047648,2.131330
32,32,0.055332,2.149045
32,32,0.047343,2.151754
64,73,0.048610,2.121341
64,73,0.064909,2.149296
64,73,0.055215,2.144839
64,73,0.073771,2.188080
128,180,0.089890,0.845057
128,180,0.100829,0.832344
128,180,0.095552,0.834246
256,284,0.092251,0.893076
256,284,0.098581,0.863193
256,284,0.097282,0.881771
256,284,0.129583,0.812349
