process_count,teilSudokus,loesungs_zeit,gesamt_zeit
1,1,0.000099,0.000106
1,1,0.000079,0.000084
1,1,0.000079,0.000084
1,1,0.000078,0.000084
2,2,0.000079,0.000160
2,2,0.000078,0.000161
2,2,0.000079,0.000167
2,2,0.000086,0.000167
4,4,0.000086,0.000279
4,4,0.000067,0.000268
4,4,0.000066,0.000268
4,4,0.000067,0.000273
8,26,0.000047,0.000479
8,26,0.000048,0.000533
8,26,0.000048,0.000508
8,26,0.000058,0.000529
16,26,0.000043,0.000689
16,26,0.000033,0.000732
16,26,0.000037,0.000749
16,26,0.000039,0.000671
32,38,0.000128,0.001457
32,38,0.000052,0.001041
32,38,0.000046,0.001123
32,38,0.000064,0.000865
