"processes";"num_startSudokus";"total time [s]";"solution time [s]";"sudoku_init time [s]"
1;1;0.001348;0.001342;0.000140
1;1;0.001408;0.001405;0.000127
1;1;0.001368;0.001363;0.000119
1;1;0.001396;0.001392;0.000124
1;1;0.001350;0.001346;0.000122
1;1;0.001335;0.001331;0.000125
1;1;0.001421;0.001419;0.000123
1;1;0.001351;0.001349;0.000121
1;1;0.001341;0.001338;0.000124
1;1;0.001412;0.001410;0.000135
2;1;0.007445;0.007442;0.000122
2;1;0.008462;0.008448;0.000133
2;1;0.007307;0.007288;0.000131
2;1;0.008338;0.008322;0.000142
2;1;0.008143;0.008147;0.000132
2;1;0.007718;0.007704;0.000137
2;1;0.008626;0.008630;0.000125
2;1;0.007798;0.007781;0.000122
2;1;0.007418;0.007397;0.000125
2;1;0.008470;0.008455;0.000127
3;4;0.002429;0.002396;0.000163
3;4;0.002185;0.002122;0.000137
3;4;0.002199;0.002092;0.000130
3;4;0.002143;0.002077;0.000139
3;4;0.002256;0.002172;0.000134
3;4;0.002161;0.002100;0.000136
3;4;0.002131;0.002044;0.000145
3;4;0.002179;0.002094;0.000140
3;4;0.002185;0.002119;0.000144
3;4;0.002427;0.002379;0.000145
4;4;0.002310;0.002192;0.000145
4;4;0.002523;0.002305;0.000133
4;4;0.002487;0.002358;0.000136
4;4;0.002276;0.002162;0.000152
4;4;0.002428;0.002268;0.000154
4;4;0.002374;0.002231;0.000166
4;4;0.002351;0.002203;0.000152
4;4;0.002407;0.002249;0.000161
4;4;0.003904;0.003755;0.000140
4;4;0.002522;0.002387;0.000190
5;4;0.004144;0.003828;0.000143
5;4;0.003579;0.003316;0.000149
5;4;0.004002;0.003677;0.000135
5;4;0.002720;0.002338;0.000140
5;4;0.003041;0.002674;0.000142
5;4;0.003909;0.003535;0.000145
5;4;0.003588;0.003270;0.000149
5;4;0.002678;0.002381;0.000139
5;4;0.002850;0.002553;0.000148
5;4;0.004592;0.004235;0.000141
6;9;0.003736;0.003497;0.000160
6;9;0.002868;0.002629;0.000166
6;9;0.004038;0.003725;0.000177
6;9;0.002838;0.002632;0.000169
6;9;0.003542;0.003290;0.000157
6;9;0.004455;0.004252;0.000149
6;9;0.003089;0.002916;0.000146
6;9;0.003991;0.003767;0.000148
6;9;0.003292;0.003059;0.000150
6;9;0.002508;0.002302;0.000149
7;9;0.003130;0.002871;0.000150
7;9;0.002644;0.002400;0.000157
7;9;0.002611;0.002334;0.000156
7;9;0.002500;0.002296;0.000154
7;9;0.003801;0.003503;0.000154
7;9;0.002446;0.002190;0.000155
7;9;0.002241;0.001941;0.000152
7;9;0.003671;0.003391;0.000160
7;9;0.004035;0.003725;0.000155
7;9;0.003821;0.003520;0.000159
