processes,num_startSudokus,total time [s],solution time [s],sudoku_init time [s]
1,1,16.026370,16.026363,0.000141
1,1,15.816510,15.816505,0.000144
1,1,15.862256,15.862251,0.000127
1,1,15.831690,15.831685,0.000141
1,1,15.851570,15.851563,0.000132
1,1,15.873806,15.873800,0.000134
1,1,15.848936,15.848930,0.000140
1,1,15.834840,15.834835,0.000135
1,1,15.832530,15.832524,0.000131
1,1,15.860974,15.860968,0.000127
2,1,19.631429,19.631424,0.000139
2,1,19.005762,19.005764,0.000150
2,1,19.366401,19.366411,0.000141
2,1,18.941575,18.941575,0.000136
2,1,18.777889,18.777861,0.000138
2,1,18.868006,18.867987,0.000171
2,1,18.920331,18.920333,0.000139
2,1,18.925559,18.925538,0.000141
2,1,19.218219,19.218209,0.000140
2,1,18.938850,18.938827,0.000136
3,3,3.485860,3.485736,0.000153
3,3,3.464709,3.464581,0.000155
3,3,3.535961,3.535815,0.000150
3,3,3.500726,3.500606,0.000154
3,3,3.482485,3.482331,0.000155
3,3,3.499079,3.498930,0.000153
3,3,3.576329,3.576221,0.000152
3,3,3.492768,3.492627,0.000152
3,3,3.557289,3.557151,0.000148
3,3,3.494768,3.494627,0.000159
4,3,3.626807,3.626611,0.000149
4,3,2.684086,2.683844,0.000151
4,3,3.662212,3.661949,0.000158
4,3,7.483118,7.482883,0.000156
4,3,2.428960,2.428740,0.000153
4,3,2.633751,2.633518,0.000150
4,3,3.760123,3.759879,0.000161
4,3,2.639021,2.638779,0.000157
4,3,2.502041,2.501814,0.000166
4,3,2.473983,2.473744,0.000192
5,8,2.961258,2.960814,0.000181
5,8,2.759349,2.758950,0.000175
5,8,3.401561,3.401163,0.000163
5,8,3.261541,3.261156,0.000160
5,8,2.539994,2.539530,0.000167
5,8,2.969032,2.968662,0.000179
5,8,3.169049,3.168649,0.000170
5,8,2.242518,2.242093,0.000166
5,8,2.862298,2.861940,0.000165
5,8,2.895474,2.895067,0.000162
6,8,2.488648,2.488275,0.000167
6,8,1.892130,1.891800,0.000166
6,8,2.182143,2.181813,0.000168
6,8,1.898648,1.898344,0.000167
6,8,2.309559,2.309150,0.000172
6,8,2.221453,2.221119,0.000175
6,8,2.124833,2.124403,0.000167
6,8,2.479074,2.478631,0.000163
6,8,2.003929,2.003574,0.000167
6,8,1.858401,1.858148,0.000181
7,8,2.470589,2.470276,0.000184
7,8,2.665685,2.665390,0.000171
7,8,2.304252,2.303953,0.000166
7,8,2.246416,2.246073,0.000167
7,8,2.224855,2.224520,0.000171
7,8,2.213461,2.213182,0.000181
7,8,1.962898,1.962561,0.000175
7,8,2.635637,2.635343,0.000166
7,8,2.746619,2.746328,0.000167
7,8,1.774648,1.774350,0.000171
8,8,2.932015,2.931660,0.000166
8,8,2.036535,2.036178,0.000177
8,8,2.666380,2.665959,0.000175
8,8,2.337488,2.337140,0.000173
8,8,2.343653,2.343255,0.000170
8,8,2.229119,2.228695,0.000173
8,8,1.369709,1.369305,0.000163
8,8,2.923185,2.922766,0.000179
8,8,2.744608,2.744217,0.000167
8,8,2.544724,2.544357,0.000188
9,8,2.860111,2.859459,0.000209
9,8,3.303522,3.302895,0.000190
9,8,1.601095,1.600539,0.000184
9,8,2.795377,2.794823,0.000204
9,8,2.145828,2.145195,0.000197
9,8,2.281740,2.281200,0.000195
9,8,1.221932,1.221385,0.000182
9,8,1.913818,1.913237,0.000185
9,8,3.997063,3.996509,0.000189
9,8,2.365481,2.364890,0.000181
10,18,3.084462,3.083886,0.000237
10,18,3.968999,3.968449,0.000315
10,18,5.737052,5.736450,0.000248
10,18,4.919616,4.918887,0.000240
10,18,5.326403,5.325767,0.000240
10,18,3.108525,3.107859,0.000220
10,18,1.742808,1.741054,0.000225
10,18,2.250003,2.249479,0.000210
10,18,3.037811,3.037267,0.000217
10,18,5.119330,5.118732,0.000212
11,18,2.556917,2.556409,0.000214
11,18,6.374377,6.373729,0.000221
11,18,7.033135,7.032565,0.000225
11,18,2.440217,2.439642,0.000211
11,18,6.948487,6.947942,0.000209
11,18,5.618006,5.617488,0.000229
11,18,4.171602,4.171018,0.000204
11,18,4.690613,4.690074,0.000220
11,18,6.884346,6.883821,0.000216
11,18,4.063139,4.062611,0.000223
12,18,12.328570,12.328056,0.000220
12,18,2.318700,2.318124,0.000221
12,18,2.417884,2.417205,0.000242
12,18,1.398308,1.397912,0.000229
12,18,1.289953,1.289401,0.000220
12,18,0.813230,0.812580,0.000229
12,18,2.043291,2.042651,0.000287
12,18,3.482560,3.481982,0.000228
12,18,2.781608,2.781063,0.000230
12,18,1.214481,1.213941,0.000277
13,18,1.692938,1.692215,0.000223
13,18,5.500021,5.499330,0.000277
13,18,1.290240,1.289530,0.000225
13,18,0.512350,0.511702,0.000262
13,18,1.249303,1.248674,0.000219
13,18,12.804857,12.804203,0.000224
13,18,2.000695,2.000007,0.000242
13,18,1.561640,1.561004,0.000280
13,18,1.143469,1.142681,0.000243
13,18,0.716318,0.715547,0.000220
14,18,9.505620,9.504958,0.000221
14,18,6.891632,6.890997,0.000236
14,18,1.530159,1.529484,0.000239
14,18,1.017468,1.016686,0.000230
14,18,3.520090,3.519308,0.000214
14,18,1.025244,1.024497,0.000245
14,18,3.222995,3.222342,0.000218
14,18,2.387227,2.386610,0.000209
14,18,2.611238,2.610623,0.000282
14,18,6.027914,6.027082,0.000222
15,18,1.298519,1.297928,0.000223
15,18,2.531958,2.531091,0.000210
15,18,1.911857,1.911192,0.000220
15,18,1.493795,1.493110,0.000231
15,18,14.118285,14.117512,0.000222
15,18,3.183575,3.182593,0.000238
15,18,3.431137,3.430221,0.000321
15,18,2.780511,2.779896,0.000235
15,18,2.933556,2.932931,0.000225
15,18,0.856590,0.855993,0.000235
16,18,2.591496,2.590807,0.000227
16,18,2.825826,2.824973,0.000270
16,18,6.449244,6.448281,0.000275
16,18,14.214940,14.214083,0.000233
16,18,14.301235,14.300433,0.000283
16,18,1.206620,1.205797,0.000227
16,18,1.232002,1.231063,0.000232
16,18,0.586429,0.585700,0.000216
16,18,3.025032,3.024207,0.000234
16,18,14.422516,14.421745,0.000231
32,70,2.620873,2.619860,0.016523
32,70,3.088390,3.086227,0.011686
32,70,3.059673,3.056540,0.017951
32,70,3.847127,3.844385,0.015301
32,70,3.572851,3.569891,0.014183
