"processes";"num_startSudokus";"total time [s]";"solution time [s]";"sudoku_init time [s]"
1;1;0.000663;0.000661;0.000135
1;1;0.000660;0.000658;0.000123
1;1;0.000661;0.000659;0.000120
1;1;0.000695;0.000692;0.000142
1;1;0.000677;0.000674;0.000120
1;1;0.000668;0.000665;0.000122
1;1;0.000664;0.000661;0.000124
1;1;0.000704;0.000698;0.000142
1;1;0.000673;0.000671;0.000130
1;1;0.000697;0.000693;0.000120
2;1;0.001038;0.001020;0.000128
2;1;0.001059;0.001068;0.000132
2;1;0.001043;0.001024;0.000123
2;1;0.001056;0.001063;0.000130
2;1;0.001029;0.001010;0.000125
2;1;0.001044;0.001054;0.000125
2;1;0.000941;0.000925;0.000124
2;1;0.001053;0.001030;0.000121
2;1;0.001011;0.001000;0.000123
2;1;0.001065;0.001046;0.000127
3;2;0.000545;0.000498;0.000134
3;2;0.000585;0.000516;0.000134
3;2;0.000576;0.000540;0.000134
3;2;0.000587;0.000536;0.000133
3;2;0.000641;0.000562;0.000154
3;2;0.000597;0.000531;0.000131
3;2;0.000544;0.000495;0.000132
3;2;0.000619;0.000542;0.000154
3;2;0.000532;0.000486;0.000133
3;2;0.000606;0.000523;0.000177
4;4;0.000669;0.000531;0.000139
4;4;0.000715;0.000523;0.000138
4;4;0.000759;0.000587;0.000138
4;4;0.000762;0.000626;0.000142
4;4;0.000765;0.000616;0.000139
4;4;0.000718;0.000558;0.000138
4;4;0.000785;0.000563;0.000145
4;4;0.000973;0.000832;0.000134
4;4;0.000649;0.000515;0.000135
4;4;0.000795;0.000583;0.000143
5;4;0.001166;0.000877;0.000145
5;4;0.001003;0.000685;0.000137
5;4;0.001175;0.000833;0.000136
5;4;0.001254;0.000920;0.000148
5;4;0.000995;0.000705;0.000135
5;4;0.001056;0.000702;0.000157
5;4;0.001299;0.001049;0.000181
5;4;0.000924;0.000607;0.000140
5;4;0.001090;0.000730;0.000134
5;4;0.000928;0.000647;0.000140
6;6;0.001275;0.001032;0.000166
6;6;0.001012;0.000770;0.000177
6;6;0.001298;0.001064;0.000170
6;6;0.001031;0.000823;0.000205
6;6;0.001340;0.001090;0.000169
6;6;0.000963;0.000692;0.000166
6;6;0.001177;0.000947;0.000197
6;6;0.001181;0.000903;0.000168
6;6;0.000894;0.000699;0.000162
6;6;0.000928;0.000698;0.000165
7;6;0.001415;0.001159;0.000173
7;6;0.001478;0.001253;0.000168
7;6;0.001445;0.001220;0.000171
7;6;0.001664;0.001415;0.000183
7;6;0.001644;0.001447;0.000204
7;6;0.001585;0.001345;0.000162
7;6;0.001543;0.001304;0.000161
7;6;0.001813;0.001548;0.000176
7;6;0.001546;0.001293;0.000175
7;6;0.001334;0.001128;0.000164
8;26;0.001266;0.000949;0.000191
8;26;0.001391;0.001052;0.000207
8;26;0.001521;0.001216;0.000202
8;26;0.001522;0.001161;0.000196
8;26;0.001337;0.000956;0.000196
8;26;0.001572;0.001238;0.000190
8;26;0.001199;0.000910;0.000183
8;26;0.001303;0.001021;0.000193
8;26;0.001349;0.000998;0.000202
8;26;0.001449;0.001134;0.000192
9;26;0.001707;0.001047;0.000214
9;26;0.001803;0.001283;0.000208
9;26;0.001527;0.000991;0.000192
9;26;0.001866;0.001311;0.000194
9;26;0.001643;0.001023;0.000215
9;26;0.001544;0.001014;0.000202
9;26;0.001771;0.001166;0.000199
9;26;0.001932;0.001309;0.000200
9;26;0.001762;0.001293;0.000211
9;26;0.001837;0.001216;0.000204
10;26;0.001840;0.001292;0.000207
10;26;0.001761;0.001127;0.000207
10;26;0.001577;0.001049;0.000210
10;26;0.001848;0.001313;0.000213
10;26;0.001708;0.001217;0.000200
10;26;0.001732;0.001259;0.000204
10;26;0.001891;0.001344;0.000214
10;26;0.001938;0.001372;0.000216
10;26;0.001682;0.001070;0.000212
10;26;0.001961;0.001368;0.000199
11;26;0.001935;0.001230;0.000208
11;26;0.002163;0.001530;0.000212
11;26;0.001932;0.001336;0.000274
11;26;0.001959;0.001277;0.000218
11;26;0.001900;0.001332;0.000275
11;26;0.001958;0.001320;0.000216
11;26;0.002277;0.001633;0.000254
11;26;0.002069;0.001504;0.000220
11;26;0.001893;0.001245;0.000208
11;26;0.002169;0.001455;0.000205
12;26;0.001763;0.001249;0.000210
12;26;0.001771;0.001338;0.000208
12;26;0.002248;0.001758;0.000237
12;26;0.002293;0.001768;0.000230
12;26;0.002028;0.001579;0.000201
12;26;0.001911;0.001546;0.000265
12;26;0.002029;0.001535;0.000208
12;26;0.001900;0.001443;0.000201
12;26;0.002135;0.001727;0.000195
12;26;0.001810;0.001369;0.000197
13;26;0.002175;0.001303;0.000206
13;26;0.002493;0.001586;0.000201
13;26;0.002338;0.001579;0.000203
13;26;0.002331;0.001475;0.000215
13;26;0.002473;0.001600;0.000208
13;26;0.002284;0.001595;0.000199
13;26;0.002225;0.001353;0.000203
13;26;0.002466;0.001684;0.000210
13;26;0.002435;0.001576;0.000204
13;26;0.002584;0.001520;0.000210
14;26;0.002198;0.001644;0.000207
14;26;0.002297;0.001693;0.000198
14;26;0.002199;0.001612;0.000199
14;26;0.001991;0.001409;0.000218
14;26;0.001896;0.001398;0.000208
14;26;0.001820;0.001295;0.000200
14;26;0.001808;0.001287;0.000205
14;26;0.002317;0.001650;0.000257
14;26;0.002170;0.001658;0.000217
14;26;0.002168;0.001647;0.000208
15;26;0.002634;0.001879;0.000206
15;26;0.002646;0.001950;0.000203
15;26;0.002728;0.001955;0.000204
15;26;0.002593;0.001733;0.000210
15;26;0.002185;0.001379;0.000204
15;26;0.002357;0.001593;0.000194
15;26;0.002422;0.001718;0.000211
15;26;0.002595;0.001858;0.000203
15;26;0.002492;0.001705;0.000261
15;26;0.002449;0.001783;0.000196
16;26;0.002338;0.001780;0.000206
16;26;0.002541;0.001991;0.000255
16;26;0.001999;0.001434;0.000198
16;26;0.002381;0.001824;0.000217
16;26;0.002335;0.001806;0.000203
16;26;0.002700;0.002015;0.000203
16;26;0.002447;0.001750;0.000198
16;26;0.002605;0.001913;0.000201
16;26;0.002586;0.001934;0.000200
16;26;0.002644;0.001878;0.000233
