processes,num_startSudokus,total time [s],solution time [s],sudoku_init time [s]
1,1,18.007341,18.007333,0.000191
1,1,17.446565,17.446557,0.000137
1,1,17.825400,17.825391,0.000133
1,1,18.026935,18.026927,0.000127
1,1,17.381919,17.381912,0.000132
2,1,10.428939,10.428940,0.000123
2,1,10.519533,10.519507,0.000127
2,1,10.369776,10.369767,0.000130
2,1,10.446265,10.446268,0.000127
2,1,10.753285,10.753265,0.000122
3,5,11.079468,11.079361,0.000138
3,5,10.924465,10.924309,0.000138
3,5,11.053562,11.053440,0.000152
3,5,10.946339,10.946195,0.000144
3,5,10.702493,10.702349,0.000147
4,5,11.379340,11.379075,0.000139
4,5,8.694560,8.694375,0.000146
4,5,8.820946,8.820737,0.000145
4,5,8.744153,8.743889,0.000139
4,5,11.192371,11.192122,0.000145
5,5,12.040542,12.040196,0.000148
5,5,11.886631,11.886269,0.000144
5,5,8.975786,8.975392,0.000145
5,5,12.054242,12.053862,0.000143
5,5,8.959480,8.959122,0.000151
6,5,9.002131,9.001808,0.000145
6,5,12.713967,12.713697,0.000149
6,5,9.907817,9.907459,0.000142
6,5,12.962052,12.961692,0.000141
6,5,10.225949,10.225544,0.000145
7,21,3.596625,3.596248,0.000181
7,21,3.543252,3.542943,0.000165
7,21,3.526097,3.525792,0.000156
7,21,3.526865,3.526533,0.000177
7,21,3.516738,3.516422,0.000166
8,21,3.737942,3.737531,0.000164
8,21,3.827553,3.827192,0.000190
8,21,3.664380,3.663978,0.000168
8,21,3.892540,3.892081,0.000161
8,21,3.661978,3.661555,0.000165
9,21,3.744549,3.744004,0.000164
9,21,3.584903,3.584344,0.000161
9,21,3.376908,3.376220,0.000167
9,21,3.875715,3.875128,0.000164
9,21,3.779212,3.778647,0.000167
10,21,12.883513,12.882866,0.000169
10,21,12.849662,12.849052,0.000172
10,21,8.245525,8.244926,0.000170
10,21,5.980970,5.980332,0.000167
10,21,6.563599,6.562938,0.000188
11,21,9.860878,9.860294,0.000187
11,21,8.251094,8.250577,0.000160
11,21,2.664838,2.664317,0.000173
11,21,6.429428,6.428943,0.000165
11,21,12.983154,12.982599,0.000176
12,21,1.534918,1.534445,0.000176
12,21,1.587381,1.586831,0.000180
12,21,1.359713,1.359230,0.000177
12,21,4.756283,4.755702,0.000175
12,21,4.614212,4.613673,0.000173
13,21,13.306035,13.305388,0.000181
13,21,12.258504,12.257929,0.000190
13,21,1.638689,1.637781,0.000194
13,21,12.624728,12.624026,0.000194
13,21,9.851914,9.851106,0.000169
14,21,1.534196,1.533625,0.000182
14,21,11.624618,11.624072,0.000179
14,21,1.766338,1.765614,0.000255
14,21,1.947710,1.947050,0.000186
14,21,1.507952,1.507395,0.000178
15,21,4.669895,4.669246,0.000171
15,21,11.830140,11.829554,0.000190
15,21,11.884016,11.883296,0.000180
15,21,12.220043,12.219354,0.000171
15,21,2.724075,2.723482,0.000178
16,21,2.215379,2.214685,0.000168
16,21,11.022913,11.022032,0.000218
16,21,11.983886,11.983072,0.000185
16,21,10.111561,10.110744,0.000186
16,21,11.076794,11.075873,0.000178
32,71,59.771539,59.769129,0.010872
32,71,50.855369,50.855058,0.010312
32,71,44.674947,44.673723,0.013888
32,71,41.600183,41.597700,0.010824
32,71,37.337625,37.336481,0.000265
64,71,28.291569,28.285802,0.009806
64,71,35.031346,35.031795,0.003581
64,71,52.053255,52.050556,0.004026
64,71,30.572445,30.565845,0.005280
64,71,27.726513,27.725079,0.004341
128,245,102.630403,102.617438,0.004665
128,245,55.258016,55.254931,0.004357
128,245,41.817050,41.813798,0.003798
128,245,57.786179,57.784747,0.000523
128,245,74.095744,74.085252,0.006566
256,799,2.266327,2.236689,0.005495
256,799,2.210440,2.173627,0.007579
256,799,2.770771,2.738132,0.006211
256,799,2.832116,2.800076,0.001444
256,799,2.838244,2.803518,0.012643
