processes,num_startSudokus,total time [s],solution time [s],sudoku_init time [s]
1,1,42.689987,42.689982,0.003146
1,1,42.689990,42.689985,0.000150
1,1,41.529368,41.529363,0.000135
1,1,41.791856,41.791850,0.000148
1,1,41.991894,41.991887,0.000152
1,1,42.182924,42.182918,0.000144
1,1,42.235630,42.235622,0.000145
1,1,42.315136,42.315130,0.000146
1,1,42.238732,42.238725,0.000136
1,1,42.394164,42.394157,0.000137
2,1,52.813021,52.813018,0.000142
2,1,50.247822,50.247802,0.000146
2,1,49.831064,49.831076,0.000152
2,1,50.804280,50.804276,0.000141
2,1,50.244170,50.244152,0.000142
2,1,50.506510,50.506493,0.000157
2,1,50.019072,50.019080,0.000136
2,1,49.950792,49.950769,0.000141
2,1,49.921450,49.921451,0.000145
2,1,49.994521,49.994501,0.000143
3,3,25.782834,25.782689,0.000158
3,3,25.622559,25.622421,0.000179
3,3,25.659800,25.659635,0.000158
3,3,25.481093,25.480963,0.000164
3,3,25.684241,25.684132,0.000182
3,3,21.542170,21.541994,0.000162
3,3,25.763965,25.763834,0.000159
3,3,25.668324,25.668192,0.000160
3,3,25.756370,25.756254,0.000168
3,3,25.867746,25.867602,0.000160
4,3,17.529058,17.528824,0.000164
4,3,17.836164,17.835884,0.000166
4,3,17.317484,17.317265,0.000167
4,3,17.882619,17.882339,0.000162
4,3,17.654423,17.654151,0.000157
4,3,17.756431,17.756208,0.000158
4,3,18.007385,18.007040,0.000169
4,3,18.132472,18.132212,0.000164
4,3,18.007732,18.007472,0.000160
4,3,17.733795,17.733545,0.000155
5,8,18.884264,18.883800,0.000174
5,8,17.620299,17.619955,0.000194
5,8,18.931614,18.931235,0.000185
5,8,17.675823,17.675375,0.000171
5,8,19.055979,19.055654,0.000175
5,8,18.854640,18.854274,0.000179
5,8,18.405861,18.405480,0.000172
5,8,17.076173,17.075818,0.000182
5,8,18.601811,18.601460,0.000176
5,8,18.649747,18.649313,0.000175
6,8,15.781009,15.780634,0.000175
6,8,15.126987,15.126653,0.000176
6,8,15.929811,15.929487,0.000178
6,8,16.279244,16.278936,0.000180
6,8,15.983792,15.983452,0.000168
6,8,15.950055,15.949722,0.000177
6,8,16.238200,16.237923,0.000182
6,8,15.654367,15.653994,0.000175
6,8,14.951734,14.951362,0.000177
6,8,16.433992,16.433693,0.000185
7,8,13.913408,13.913120,0.000177
7,8,14.296253,14.295907,0.000169
7,8,14.929645,14.929233,0.000183
7,8,13.963417,13.963139,0.000185
7,8,14.343160,14.342868,0.000176
7,8,13.750824,13.750495,0.000173
7,8,14.422704,14.422359,0.000176
7,8,14.395044,14.394703,0.000239
7,8,14.382596,14.382278,0.000175
7,8,12.542284,12.541909,0.000179
8,8,13.378389,13.377944,0.000176
8,8,12.642373,12.641940,0.000182
8,8,13.750630,13.750216,0.000193
8,8,13.614349,13.613905,0.000174
8,8,12.600899,12.600382,0.000183
8,8,13.461230,13.460819,0.000178
8,8,12.347440,12.347027,0.000176
8,8,13.700031,13.699645,0.000181
8,8,12.083868,12.083428,0.000197
8,8,13.465094,13.464584,0.000219
9,8,13.177974,13.177401,0.000187
9,8,13.621732,13.621090,0.000180
9,8,13.346912,13.346318,0.000192
9,8,13.539140,13.538455,0.000185
9,8,13.007132,13.006512,0.000180
9,8,13.285726,13.285150,0.000221
9,8,13.078152,13.077656,0.000181
9,8,13.204656,13.204077,0.000253
9,8,12.984353,12.983694,0.000198
9,8,11.673115,11.672469,0.000189
10,18,11.154942,11.154412,0.000257
10,18,12.355139,12.354469,0.000224
10,18,10.762086,10.761524,0.000224
10,18,10.662107,10.661459,0.000245
10,18,10.365893,10.365242,0.000238
10,18,11.208615,11.207934,0.000222
10,18,10.819498,10.818779,0.000231
10,18,12.552450,12.551865,0.000237
10,18,12.069201,12.068437,0.000227
10,18,10.660589,10.659878,0.000240
11,18,10.234110,10.233643,0.000238
11,18,8.866418,8.865925,0.000231
11,18,10.705704,10.705182,0.000221
11,18,8.231961,8.231378,0.000218
11,18,8.712867,8.712372,0.000215
11,18,9.167704,9.167046,0.000291
11,18,12.125314,12.124805,0.000225
11,18,11.474505,11.473903,0.000228
11,18,10.688882,10.688283,0.000255
11,18,10.444391,10.443801,0.000226
12,18,10.700629,10.700088,0.000240
12,18,11.756245,11.755716,0.000235
12,18,9.511956,9.511371,0.000255
12,18,9.083788,9.083096,0.000226
12,18,10.314243,10.313733,0.000289
12,18,11.381547,11.380993,0.000235
12,18,7.457212,7.456545,0.000221
12,18,9.740428,9.739862,0.000226
12,18,11.023595,11.022946,0.000229
12,18,10.574076,10.573588,0.000292
13,18,11.603864,11.603153,0.000230
13,18,12.961749,12.961157,0.000236
13,18,12.624874,12.624032,0.000227
13,18,7.162791,7.162137,0.000294
13,18,12.697730,12.697129,0.000231
13,18,12.325952,12.325359,0.000219
13,18,11.462925,11.462315,0.000227
13,18,9.681421,9.680801,0.000226
13,18,12.335154,12.334011,0.000226
13,18,11.714592,11.713890,0.000320
14,18,9.047616,9.047014,0.000233
14,18,12.727893,12.727215,0.000229
14,18,11.905008,11.904453,0.000239
14,18,10.811443,10.810800,0.000294
14,18,13.261144,13.260455,0.000221
14,18,11.319971,11.319381,0.000228
14,18,11.596657,11.596073,0.000230
14,18,12.997762,12.997058,0.000217
14,18,8.883614,8.882884,0.000231
