"processes";"num_startSudokus";"total time [s]";"solution time [s]";"sudoku_init time [s]"
1;1;12.023558;12.023552;0.000147
1;1;12.016563;12.016556;0.000136
1;1;12.044590;12.044584;0.000138
1;1;12.222336;12.222330;0.000139
1;1;12.249128;12.249121;0.000147
1;1;12.116002;12.115993;0.000146
1;1;12.066052;12.066046;0.000143
1;1;12.080651;12.080645;0.000145
1;1;12.144609;12.144602;0.000134
1;1;12.125779;12.125772;0.000139
2;1;20.855272;20.855300;0.000156
2;1;20.548550;20.548552;0.000145
2;1;20.760366;20.760315;0.000154
2;1;20.251214;20.251222;0.000138
2;1;20.127370;20.127352;0.000141
2;1;19.810136;19.810113;0.000136
2;1;20.006864;20.006863;0.000137
2;1;19.666656;19.666637;0.000138
2;1;19.918794;19.918787;0.000138
2;1;20.247119;20.247095;0.000139
3;3;3.805153;3.804996;0.000154
3;3;3.825394;3.825258;0.000152
3;3;3.783182;3.783015;0.000150
3;3;3.905826;3.905674;0.000148
3;3;3.873922;3.873752;0.000152
3;3;3.799639;3.799467;0.000157
3;3;3.776410;3.776267;0.000157
3;3;3.786812;3.786664;0.000154
3;3;3.833596;3.833447;0.000167
3;3;3.832242;3.832103;0.000150
4;3;4.051937;4.051673;0.000157
4;3;9.616260;9.615994;0.000163
4;3;3.972477;3.972257;0.000159
4;3;3.891905;3.891635;0.000159
4;3;4.090910;4.090639;0.000164
4;3;2.294405;2.294172;0.000152
4;3;4.168716;4.168465;0.000159
4;3;4.013141;4.012909;0.000160
4;3;7.848341;7.848099;0.000157
4;3;4.298456;4.298212;0.000161
5;8;2.351410;2.351034;0.000169
5;8;4.903262;4.902877;0.000167
5;8;4.770147;4.769714;0.000165
5;8;2.490068;2.489618;0.000179
5;8;2.742038;2.741683;0.000160
5;8;4.720801;4.720387;0.000238
5;8;2.584902;2.584451;0.000171
5;8;4.288142;4.287803;0.000177
5;8;2.634471;2.634012;0.000172
5;8;2.690516;2.690167;0.000165
6;8;2.780285;2.780005;0.000176
6;8;2.226402;2.226130;0.000185
