"processes";"num_startSudokus";"total time [s]";"solution time [s]";"sudoku_init time [s]"
1;1;10.103225;10.103217;0.000622
1;1;10.162322;10.162313;0.000122
1;1;10.135141;10.135133;0.000138
1;1;10.204861;10.204853;0.000130
1;1;10.151636;10.151627;0.000130
1;1;10.083966;10.083958;0.000128
1;1;10.069872;10.069863;0.000168
1;1;10.061212;10.061204;0.000132
1;1;10.064203;10.064194;0.000148
1;1;10.055093;10.055086;0.000123
2;1;11.490663;11.490664;0.000125
2;1;11.654022;11.654024;0.000134
2;1;12.040795;12.040791;0.000142
2;1;11.729738;11.729722;0.000128
2;1;11.657678;11.657680;0.000127
2;1;11.760761;11.760754;0.000135
2;1;11.827141;11.827141;0.000137
2;1;11.865584;11.865595;0.000126
2;1;11.942915;11.942900;0.000138
2;1;11.721758;11.721747;0.000133
3;5;12.992763;12.992613;0.000139
3;5;12.890293;12.890141;0.000142
3;5;13.125587;13.125444;0.000140
3;5;12.024551;12.024387;0.000141
3;5;11.875746;11.875621;0.000153
3;5;11.949533;11.949383;0.000144
3;5;11.755779;11.755635;0.000143
3;5;11.816953;11.816843;0.000173
3;5;11.798397;11.798238;0.000162
3;5;11.598822;11.598668;0.000144
4;5;13.415349;13.414981;0.000145
4;5;10.927493;10.927261;0.000194
4;5;13.408438;13.408221;0.000144
4;5;10.971374;10.971112;0.000142
4;5;10.820187;10.819977;0.000152
4;5;11.078166;11.077887;0.000140
4;5;10.873451;10.873246;0.000149
4;5;11.087464;11.087183;0.000145
4;5;13.380068;13.379789;0.000156
4;5;13.487332;13.487045;0.000183
5;5;15.039823;15.039423;0.000150
5;5;16.948164;16.947849;0.000152
5;5;16.825339;16.824923;0.000148
5;5;2.879622;2.879199;0.000144
5;5;19.516172;19.515677;0.000205
5;5;17.076062;17.075702;0.000163
5;5;14.169349;14.168957;0.000146
5;5;14.892114;14.891691;0.000143
5;5;18.545059;18.544683;0.000149
5;5;16.636948;16.636498;0.000147
6;5;15.825801;15.825443;0.000151
6;5;16.254505;16.254176;0.000139
6;5;16.458454;16.458110;0.000144
6;5;26.012212;26.011828;0.000164
6;5;37.837427;37.837116;0.000143
6;5;38.199822;38.199485;0.000142
6;5;15.174368;15.174060;0.000155
6;5;37.467776;37.467506;0.000150
6;5;25.481258;25.480925;0.000147
6;5;38.257775;38.257384;0.000154
7;21;8.948053;8.947736;0.000165
7;21;10.139882;10.139499;0.000163
7;21;7.525700;7.525397;0.000157
7;21;6.004889;6.004587;0.000159
7;21;5.972693;5.972363;0.000186
7;21;7.805969;7.805583;0.000164
7;21;7.989135;7.988704;0.000170
7;21;7.339233;7.338946;0.000169
7;21;7.702567;7.702288;0.000165
7;21;9.418818;9.418537;0.000167
8;21;5.315834;5.315302;0.000181
8;21;4.373657;4.373261;0.000173
8;21;5.745761;5.745419;0.000160
8;21;5.037960;5.037583;0.000164
8;21;4.933019;4.932546;0.000187
8;21;4.487525;4.487148;0.000159
8;21;4.904674;4.904178;0.000161
8;21;4.290298;4.289938;0.000171
8;21;4.460075;4.459566;0.000166
8;21;4.440881;4.440484;0.000164
9;21;5.094370;5.093716;0.000172
9;21;4.390023;4.389315;0.000166
9;21;3.841802;3.841105;0.000174
9;21;3.797903;3.797172;0.000168
9;21;4.094465;4.093858;0.000164
9;21;3.926174;3.925464;0.000163
9;21;3.789701;3.789011;0.000162
9;21;4.386722;4.386132;0.000166
9;21;3.987612;3.986965;0.000180
9;21;3.789261;3.788577;0.000208
10;21;29.798490;29.797894;0.000180
10;21;32.888631;32.888013;0.000175
10;21;32.062754;32.062047;0.000177
10;21;31.819057;31.818435;0.000176
10;21;32.304441;32.303868;0.000168
10;21;11.337670;11.337008;0.000205
10;21;33.651854;33.651233;0.000171
10;21;33.847038;33.846437;0.000222
10;21;31.725917;31.725283;0.000187
10;21;36.057190;36.056610;0.000175
11;21;33.287687;33.287180;0.000165
11;21;9.353296;9.352691;0.000192
11;21;29.666246;29.665604;0.000236
11;21;32.044646;32.044112;0.000179
11;21;31.126831;31.126184;0.000190
11;21;34.456275;34.455806;0.000186
11;21;29.299276;29.298700;0.000175
11;21;30.915446;30.914868;0.000207
11;21;30.329970;30.329450;0.000184
