"processes";"solution time [s]"
1;0.002252
1;0.000923
1;0.000912
1;0.000922
1;0.000909
1;0.000894
1;0.000914
1;0.001110
1;0.000899
1;0.000951
2;0.001517
2;0.000978
2;0.001154
2;0.009491
2;0.000920
2;0.001141
2;0.001136
2;0.001053
2;0.001086
2;0.006496
3;0.004619
3;0.001410
3;0.001595
3;0.001205
3;0.001200
3;0.001244
3;0.001210
3;0.001165
3;0.001207
3;0.001150
4;0.001142
4;0.001528
4;0.001405
4;0.001337
4;0.001216
4;0.001496
4;0.001274
4;0.001560
4;0.001551
4;0.004890
5;0.001051
5;0.001031
5;0.001407
5;0.001362
5;0.001669
5;0.001025
5;0.001023
5;0.002367
5;0.001130
5;0.001055
6;0.001231
6;0.001034
6;0.001113
6;0.001804
6;0.001094
6;0.001742
6;0.001660
6;0.001822
6;0.001602
6;0.000945
7;0.001859
7;0.001803
7;0.001862
7;0.002385
7;0.001926
7;0.001850
7;0.001883
7;0.001823
7;0.001873
7;0.001895
8;0.001291
8;0.001860
8;0.001465
8;0.001237
8;0.001673
8;0.001822
8;0.002037
8;0.002017
8;0.002054
8;0.002101
9;0.002037
9;0.001519
9;0.001926
9;0.001560
9;0.002105
9;0.002152
9;0.001514
9;0.002119
9;0.002170
9;0.002715
10;0.002060
10;0.001630
10;0.001681
10;0.002120
10;0.001213
10;0.001673
10;0.002154
10;0.002075
10;0.001595
10;0.002169
11;0.002025
11;0.002723
11;0.001953
11;0.003027
11;0.002569
11;0.001941
11;0.002726
11;0.001776
11;0.001900
11;0.002503
12;0.002190
12;0.001593
12;0.002017
12;0.001622
12;0.003263
12;0.002543
12;0.002672
12;0.002412
12;0.001435
12;0.002398
13;0.002376
13;0.002954
13;0.001652
13;0.002905
13;0.001779
13;0.001768
13;0.001702
13;0.001703
13;0.001836
13;0.003312
14;0.001845
14;0.003778
14;0.002044
14;0.002096
14;0.002046
14;0.001870
14;0.001691
14;0.002087
14;0.001906
14;0.002108
15;0.001893
15;0.001982
15;0.003456
15;0.002095
15;0.003675
15;0.001857
15;0.003262
15;0.002253
15;0.001929
15;0.003305
16;0.003316
16;0.002178
16;0.002165
16;0.003674
16;0.003502
16;0.002676
16;0.002215
16;0.002437
16;0.003820
16;0.004272
