"processes";"solution time [s]"
1;17.762889
1;17.692296
1;17.683153
1;17.692125
1;17.564280
1;17.480567
1;17.461599
1;17.452316
1;17.571404
1;17.454764
2;15.647642
2;14.796676
2;15.226437
2;14.760440
2;14.831113
2;15.556138
2;16.505067
2;16.176087
2;15.006830
2;15.598655
3;2.024213
3;1.969432
3;1.990377
3;2.060027
3;1.985462
3;1.980505
3;2.067910
3;2.094675
3;2.103606
3;2.243458
4;2.603248
4;2.723488
4;2.594693
4;2.615505
4;2.564008
4;2.575869
4;2.698152
4;2.710550
4;2.648128
4;2.725247
5;6.022252
5;5.899796
5;5.888897
5;5.945156
5;5.665957
5;5.669825
5;5.839970
5;5.518347
5;5.612663
5;5.924614
6;6.929052
6;7.274390
6;7.022796
6;7.271781
6;7.183762
6;7.276596
6;7.145997
6;7.254791
6;7.020031
6;6.920809
7;8.465995
7;8.670310
7;8.637821
7;9.369785
7;8.263113
7;8.537817
7;9.147377
7;8.611679
7;8.457895
7;8.391859
8;10.225411
8;10.358463
8;10.253703
8;10.186098
8;9.980714
8;10.150836
8;10.627486
8;11.396180
8;10.287597
8;10.538899
9;12.756404
9;13.043449
9;12.489791
9;13.215539
9;12.985979
9;12.861586
9;13.907805
9;13.149023
9;12.690248
9;12.721370
10;16.213608
10;16.298277
10;15.628940
10;15.817143
10;16.102495
10;15.318742
10;16.266460
10;15.977498
10;15.442928
10;15.434383
11;18.186547
11;18.262843
11;19.592805
11;19.028254
11;20.673637
11;19.358880
11;19.531864
11;19.748647
11;19.271897
11;19.595479
12;24.049698
12;24.387634
12;24.760913
12;23.491060
12;23.125777
12;24.078687
12;25.126456
12;23.281834
12;23.557007
12;25.207709
13;28.744565
13;28.227351
13;28.691360
13;28.204138
13;28.181246
13;27.434738
13;27.704456
13;29.395749
13;28.098358
13;28.364828
14;33.568946
14;31.775078
14;32.794172
14;32.776567
14;34.343443
14;33.243799
14;32.477178
14;33.201240
14;32.589338
14;32.327807
15;37.146940
15;37.327174
15;38.025309
15;39.004420
15;37.409334
15;38.081614
15;36.532171
15;38.269516
15;37.891275
15;38.296536
16;43.292867
16;39.430809
16;41.373577
16;42.343554
16;40.989458
16;42.037235
16;41.297131
16;43.100016
16;42.784449
16;43.170376
