"processes";"num_sudokus";"computing time [s]";"solution time [s]";"sudoku_init time [s]"
1;1;12.058696;12.058696;0.003489
1;1;12.034229;12.034229;0.000140
1;1;12.049672;12.049671;0.000131
1;1;12.031743;12.031743;0.000160
2;1;12.043977;12.043449;0.000143
2;1;12.038527;12.038332;0.000150
2;1;12.163258;12.163077;0.000146
2;1;12.066616;12.066433;0.000138
3;3;12.013012;12.012850;0.000406
3;3;11.983044;11.982875;0.000155
3;3;11.991298;11.991082;0.000153
3;3;12.043329;12.043148;0.000163
4;3;12.010517;12.010363;0.000158
4;3;11.983019;11.982867;0.000162
4;3;11.984055;11.983902;0.000160
4;3;11.991083;11.990925;0.000156
5;8;11.399695;2.258449;0.000170
5;8;11.847725;2.310430;0.000215
5;8;11.542974;2.298648;0.000169
5;8;11.411729;2.277050;0.000167
6;8;11.390634;2.250925;0.000167
6;8;11.484689;2.289769;0.000168
6;8;11.410696;2.269364;0.000170
6;8;11.408248;2.243549;0.000175
7;8;11.717691;2.274947;0.000172
7;8;11.468138;2.272071;0.000169
7;8;11.567902;2.257443;0.000167
7;8;11.619865;2.273555;0.000169
8;8;11.441174;2.251380;0.000170
8;8;11.481606;2.306124;0.000168
8;8;11.407458;2.280924;0.000172
8;8;11.361935;2.258033;0.000164
9;8;11.444697;2.270475;0.000168
9;8;11.391284;2.320035;0.000200
9;8;11.371463;2.295852;0.000164
9;8;11.317723;2.239986;0.000167
10;18;11.335149;2.245510;0.000196
10;18;11.429654;2.249786;0.000226
10;18;11.635612;2.248117;0.000202
10;18;12.114982;2.406520;0.000221
11;18;12.039451;2.318360;0.000265
11;18;11.722011;2.394915;0.000221
11;18;11.410924;2.283292;0.000207
11;18;11.423261;2.289073;0.000192
12;18;11.345828;2.267623;0.000204
12;18;11.445433;2.259059;0.000279
12;18;11.308921;2.272703;0.000264
12;18;11.337971;2.241932;0.000208
13;18;11.463945;2.239977;0.000197
13;18;11.358069;2.230345;0.000205
13;18;11.371069;2.268012;0.000213
13;18;11.500546;2.249775;0.000195
14;18;11.382087;2.264879;0.000209
14;18;11.390150;2.274341;0.000202
14;18;11.389681;2.237341;0.000209
14;18;11.328545;2.246149;0.000205
15;18;11.335156;2.281369;0.000203
15;18;11.340214;2.252966;0.000242
15;18;11.355583;2.245758;0.000202
15;18;11.265405;2.249895;0.000207
16;18;11.406643;2.261548;0.000206
16;18;11.284867;2.226329;0.000218
16;18;11.516549;2.276790;0.000216
16;18;11.288787;2.247584;0.000215
