"processes";"num_sudokus";"computing time [s]";"solution time [s]";"sudoku_init time [s]"
1;1;12.078441;12.078429;0.000172
1;1;12.069764;12.069749;0.000148
1;1;12.071993;12.071980;0.000158
1;1;12.026978;12.026962;0.000148
1;1;12.031225;12.031210;0.000143
1;1;12.287508;12.287492;0.000158
1;1;12.095625;12.095611;0.000169
1;1;12.143703;12.143689;0.000145
1;1;12.136919;12.136905;0.000146
1;1;12.139381;12.139368;0.000154
2;3;12.146173;12.146154;0.000165
2;3;12.148521;12.148501;0.000171
2;3;12.262326;12.262304;0.000162
2;3;12.700879;12.700856;0.000170
2;3;12.580186;12.580166;0.000204
2;3;12.564090;12.564067;0.000174
2;3;12.672975;12.672955;0.000199
2;3;12.222898;12.222881;0.000171
2;3;12.048399;12.048380;0.000172
2;3;12.064113;12.064095;0.000161
3;3;11.975826;11.975806;0.000178
3;3;11.967771;11.967751;0.000167
3;3;11.968869;11.968847;0.000165
3;3;11.991994;11.991974;0.000176
3;3;12.000165;12.000129;0.000180
3;3;12.030012;12.029991;0.000165
3;3;11.982792;11.982769;0.000173
3;3;11.989404;11.989384;0.000175
3;3;11.976557;11.976535;0.000173
3;3;11.986779;11.986758;0.000172
4;8;10.057650;2.333429;0.000186
4;8;10.027487;2.200742;0.000217
4;8;9.960244;2.245999;0.000177
4;8;10.028952;2.277796;0.000179
4;8;10.004526;2.292400;0.000183
4;8;9.966344;2.268860;0.000180
4;8;9.966018;2.240245;0.000183
4;8;9.983867;2.253227;0.000178
4;8;9.969140;2.261267;0.000185
4;8;10.034113;2.326561;0.000189
5;8;9.972273;2.275049;0.000198
5;8;9.979003;2.257586;0.000182
5;8;9.990279;2.249192;0.000180
5;8;10.018557;2.302395;0.000177
5;8;9.934092;2.239490;0.000184
5;8;9.969267;2.240004;0.000179
5;8;9.950379;2.256153;0.000181
5;8;10.032691;2.300689;0.000173
5;8;10.086802;2.257339;0.000175
5;8;9.997298;2.273115;0.000191
6;8;11.626763;2.308373;0.000203
6;8;11.667201;2.492048;0.000213
6;8;11.575608;2.347941;0.000190
6;8;11.581078;2.283517;0.000186
6;8;11.491955;2.298880;0.000178
6;8;11.467377;2.303425;0.000180
6;8;11.510749;2.303137;0.000186
6;8;11.536320;2.341871;0.000175
6;8;11.379993;2.257296;0.000179
6;8;11.382927;2.280382;0.000183
7;8;11.621040;2.405641;0.000180
7;8;11.550132;2.344194;0.000214
7;8;11.501422;2.359416;0.000203
7;8;11.743929;2.548555;0.000200
7;8;11.903668;2.564564;0.000192
7;8;11.647531;2.509558;0.000185
7;8;11.565542;2.439749;0.000255
7;8;11.948445;2.483431;0.000176
7;8;11.895064;2.612414;0.000186
7;8;11.742356;2.352465;0.000204
8;8;11.887242;2.421661;0.000235
8;8;11.819519;2.385352;0.000228
8;8;11.429459;2.387823;0.000215
8;8;11.495366;2.293737;0.000202
8;8;11.505842;2.377170;0.000214
8;8;11.544799;2.364673;0.000191
8;8;11.494877;2.348484;0.000204
8;8;11.539644;2.410351;0.000213
8;8;11.583747;2.360545;0.000212
8;8;11.536483;2.289343;0.000187
9;18;11.440556;2.311676;0.000241
9;18;11.496992;2.391340;0.000278
9;18;11.635036;2.297911;0.000227
9;18;11.704461;2.314128;0.000247
9;18;11.547899;2.365855;0.000247
9;18;11.584219;2.331171;0.000233
9;18;11.500975;2.323917;0.000224
9;18;11.510453;2.585164;0.000257
9;18;11.542732;2.565223;0.000247
9;18;11.439442;2.330428;0.000222
10;18;11.575727;2.425074;0.000245
10;18;11.510557;2.377672;0.000249
10;18;11.551067;2.293344;0.000270
10;18;11.726322;2.312206;0.000241
10;18;11.417573;2.340475;0.000239
10;18;11.474053;2.360848;0.000255
10;18;11.719266;2.340286;0.000218
10;18;11.800120;2.257282;0.000260
10;18;11.629639;2.396106;0.000271
10;18;11.735677;2.396129;0.000277
11;18;11.681535;2.395331;0.000250
11;18;11.632670;2.251771;0.000255
11;18;11.529063;2.279760;0.000234
11;18;11.622849;2.456911;0.000233
11;18;11.468587;2.355051;0.000231
11;18;11.498841;2.397729;0.000251
11;18;11.476524;2.318905;0.000281
11;18;11.661994;2.523720;0.000230
11;18;11.378013;2.558936;0.000288
11;18;11.572883;2.583787;0.000235
12;18;11.505317;2.335156;0.000268
12;18;11.542875;2.389896;0.000242
12;18;11.496701;2.345698;0.000269
12;18;11.626525;2.381127;0.000257
12;18;11.582145;2.360807;0.000268
12;18;11.702659;2.324294;0.000266
12;18;11.674319;2.513730;0.000234
12;18;11.519322;2.361537;0.000270
12;18;11.638881;2.509713;0.000238
12;18;11.632254;2.393025;0.000255
13;18;11.624195;2.315681;0.000274
13;18;11.442467;2.330432;0.000264
13;18;11.603767;2.341531;0.000258
13;18;11.511746;2.314597;0.000270
13;18;11.536306;2.453755;0.000253
13;18;11.517817;2.461041;0.000286
13;18;11.605490;2.368709;0.000228
13;18;11.591028;2.452332;0.000301
13;18;11.568563;2.316546;0.000259
13;18;11.458918;2.342048;0.000287
14;18;11.575456;2.534896;0.000255
14;18;11.710827;2.591663;0.000250
14;18;11.621273;2.594502;0.000277
14;18;11.668135;2.398347;0.000260
14;18;11.771687;2.565189;0.000273
14;18;11.625117;2.630950;0.000274
14;18;11.846109;2.746741;0.000243
14;18;11.590500;2.354324;0.000333
14;18;11.785973;2.522431;0.000239
14;18;11.584927;2.375396;0.000279
15;18;11.777634;2.636948;0.000255
15;18;11.623410;2.414725;0.000275
15;18;11.703493;2.398443;0.000287
15;18;11.721091;2.500700;0.000296
15;18;11.538112;2.344663;0.000298
15;18;11.873026;2.633933;0.000287
15;18;11.674400;2.364314;0.000301
15;18;11.842173;2.395209;0.000267
15;18;11.674331;2.456022;0.000284
15;18;11.705101;2.423077;0.000278
16;18;11.883460;2.412773;0.000268
16;18;11.907892;2.342136;0.000246
16;18;11.952208;2.388965;0.000283
16;18;11.867685;2.330537;0.000279
16;18;11.724208;2.373573;0.000272
16;18;11.857334;2.310287;0.000272
16;18;11.877457;2.436627;0.000277
16;18;11.864008;2.404445;0.000288
16;18;11.855619;2.511430;0.000279
16;18;12.168193;2.276934;0.000281
