"processes";"computing time [s]"
1;12.156879
1;12.162960
1;12.157119
1;12.144147
1;12.127557
1;12.182668
1;12.144522
1;12.138591
1;12.127316
1;12.152068
2;12.142003
2;12.134910
2;12.264520
2;12.328911
2;12.213184
2;12.158061
2;12.167608
2;12.233045
2;12.174917
2;12.110523
3;12.021289
3;12.014870
3;12.008129
3;12.007607
3;12.064869
3;12.008401
3;12.038911
3;12.230114
3;12.108806
3;12.110358
4;10.001826
4;10.014228
4;9.997849
4;9.979887
4;10.007035
4;9.969704
4;9.949705
4;10.032575
4;9.965851
4;9.961125
5;9.933768
5;9.951523
5;9.914008
5;10.074285
5;9.944023
5;9.981051
5;9.946271
5;10.013328
5;10.077699
5;9.981140
6;11.466964
6;11.658828
6;11.410974
6;11.586334
6;11.544972
6;11.454812
6;11.491619
6;11.517018
6;11.509299
6;11.496373
7;11.697374
7;11.971574
7;11.625821
7;11.904852
7;11.984341
7;11.874436
7;11.728979
7;11.767496
7;11.690348
7;11.617683
8;11.557231
8;11.683261
8;11.543168
8;11.554855
8;11.731954
8;11.614247
8;11.897218
8;11.970055
8;11.570981
8;11.676390
9;11.562890
9;11.589662
9;11.614996
9;11.814309
9;11.657189
9;11.760072
9;11.947498
9;11.520551
9;11.603693
9;11.787019
10;11.640841
10;11.746146
10;11.528489
10;11.700965
10;11.567007
10;11.611074
10;11.516061
10;11.583716
10;11.798109
10;11.877054
11;11.877001
11;11.966072
11;11.732696
11;11.560326
11;11.660230
11;11.804575
11;11.911929
11;11.592527
11;11.581030
11;11.425594
12;11.673992
12;11.609953
12;11.511708
12;11.801848
12;11.481738
12;11.598204
12;11.629676
12;11.585126
12;11.492757
12;11.713733
13;11.815424
13;12.023154
13;11.807693
13;11.986230
13;11.606846
13;11.569242
13;11.735676
13;11.775727
13;11.714311
13;11.592098
14;11.541105
14;11.720958
14;11.554195
14;11.609277
14;11.437095
14;11.526444
14;11.604615
14;11.751692
14;11.774903
14;11.852238
15;11.800124
15;11.583304
15;11.612334
15;11.619000
15;11.701136
15;11.711718
15;12.053683
15;11.702574
15;11.603870
15;11.635876
16;11.502838
16;11.814862
16;11.790308
16;11.560718
16;11.570814
16;11.811598
16;11.679886
16;11.762683
16;11.954730
16;11.992167
