"processes";"num_sudokus";"computing time [s]";"solution time [s]";"sudoku_init time [s]"
1;1;0.000473;0.000470;0.000158
1;1;0.000462;0.000456;0.000135
1;1;0.000450;0.000448;0.000134
1;1;0.000469;0.000466;0.000148
1;1;0.000452;0.000450;0.000136
1;1;0.000474;0.000471;0.000148
1;1;0.000454;0.000451;0.000131
1;1;0.000452;0.000449;0.000131
1;1;0.000460;0.000457;0.000137
1;1;0.000448;0.000446;0.000126
2;2;0.000480;0.000477;0.000136
2;2;0.000500;0.000497;0.000144
2;2;0.000483;0.000481;0.000135
2;2;0.000496;0.000494;0.000141
2;2;0.000492;0.000490;0.000139
2;2;0.000506;0.000503;0.000152
2;2;0.000486;0.000483;0.000138
2;2;0.000493;0.000490;0.000145
2;2;0.000479;0.000477;0.000135
2;2;0.000487;0.000484;0.000136
3;4;0.000526;0.000522;0.000148
3;4;0.000510;0.000508;0.000141
3;4;0.000512;0.000509;0.000152
3;4;0.000514;0.000510;0.000148
3;4;0.000530;0.000525;0.000163
3;4;0.000584;0.000580;0.000155
3;4;0.000535;0.000532;0.000152
3;4;0.000512;0.000508;0.000147
3;4;0.000518;0.000515;0.000151
3;4;0.000503;0.000501;0.000136
4;4;0.000492;0.000487;0.000153
4;4;0.000478;0.000474;0.000148
4;4;0.000484;0.000479;0.000154
4;4;0.000499;0.000494;0.000155
4;4;0.000494;0.000490;0.000158
4;4;0.000501;0.000497;0.000152
4;4;0.001421;0.001417;0.000148
4;4;0.000487;0.000483;0.000151
4;4;0.000478;0.000475;0.000147
4;4;0.000478;0.000475;0.000148
5;6;0.000508;0.000316;0.000179
5;6;0.000488;0.000292;0.000165
5;6;0.000479;0.000286;0.000165
5;6;0.000495;0.000291;0.000168
5;6;0.000478;0.000291;0.000163
5;6;0.000480;0.000293;0.000171
5;6;0.000922;0.000744;0.000156
5;6;0.000473;0.000288;0.000162
5;6;0.000481;0.000298;0.000169
5;6;0.000488;0.000286;0.000163
6;6;0.000512;0.000336;0.000181
6;6;0.000528;0.000338;0.000182
6;6;0.000531;0.000337;0.000169
6;6;0.000530;0.000323;0.000174
6;6;0.001295;0.001107;0.000162
6;6;0.000526;0.000334;0.000170
6;6;0.000507;0.000317;0.000167
6;6;0.000519;0.000331;0.000187
6;6;0.000509;0.000322;0.000173
6;6;0.000528;0.000345;0.000191
7;26;0.000453;0.000379;0.000205
7;26;0.000462;0.000380;0.000199
7;26;0.001019;0.000940;0.000186
7;26;0.000461;0.000373;0.000201
7;26;0.000480;0.000392;0.000203
7;26;0.000583;0.000511;0.000306
7;26;0.000494;0.000378;0.000207
7;26;0.000471;0.000381;0.000203
7;26;0.000469;0.000391;0.000203
7;26;0.000461;0.000382;0.000201
8;26;0.001068;0.000999;0.000195
8;26;0.000520;0.000433;0.000216
8;26;0.000485;0.000398;0.000205
8;26;0.000480;0.000407;0.000208
8;26;0.000556;0.000481;0.000202
8;26;0.000547;0.000429;0.000227
8;26;0.000478;0.000409;0.000212
8;26;0.000494;0.000409;0.000216
8;26;0.000479;0.000399;0.000203
8;26;0.000844;0.000783;0.000218
9;26;0.000526;0.000445;0.000228
9;26;0.000516;0.000432;0.000213
9;26;0.000863;0.000764;0.000216
9;26;0.000560;0.000456;0.000237
9;26;0.000542;0.000459;0.000230
9;26;0.000554;0.000451;0.000221
9;26;0.000506;0.000421;0.000218
9;26;0.000500;0.000424;0.000221
9;26;0.000550;0.000439;0.000223
9;26;0.000544;0.000462;0.000221
10;26;0.001029;0.000947;0.000188
10;26;0.000555;0.000472;0.000217
10;26;0.000589;0.000468;0.000239
10;26;0.000588;0.000477;0.000229
10;26;0.000537;0.000455;0.000215
10;26;0.000986;0.000850;0.000188
10;26;0.000600;0.000498;0.000234
10;26;0.000603;0.000498;0.000240
10;26;0.000578;0.000464;0.000212
10;26;0.000575;0.000474;0.000217
11;26;0.000633;0.000524;0.000246
11;26;0.000633;0.000529;0.000245
11;26;0.000567;0.000473;0.000228
11;26;0.000719;0.000638;0.000197
11;26;0.000568;0.000497;0.000226
11;26;0.000623;0.000534;0.000259
11;26;0.000582;0.000498;0.000235
11;26;0.000607;0.000490;0.000235
11;26;0.001143;0.001050;0.000191
11;26;0.000634;0.000505;0.000228
12;26;0.000657;0.000554;0.000249
12;26;0.000725;0.000618;0.000230
12;26;0.000659;0.000554;0.000265
12;26;0.000642;0.000522;0.000226
12;26;0.000615;0.000507;0.000224
12;26;0.000679;0.000570;0.000255
12;26;0.000598;0.000504;0.000225
12;26;0.000577;0.000491;0.000228
12;26;0.000649;0.000519;0.000211
12;26;0.000696;0.000620;0.000242
13;26;0.000627;0.000576;0.000253
13;26;0.000695;0.000594;0.000289
13;26;0.000706;0.000582;0.000243
