"processes";"num_startSudokus";"solution time [s]";"sudoku_init time [s]"
1;1;12.087307;0.000825
1;1;12.172006;0.000112
1;1;12.291418;0.000115
1;1;12.188439;0.000113
1;1;12.138544;0.000110
2;3;12.121166;0.000132
2;3;12.241536;0.000134
2;3;12.146953;0.000136
2;3;12.128761;0.000138
2;3;12.102191;0.000127
3;3;12.099227;0.000137
3;3;12.074448;0.000136
3;3;12.070138;0.000131
3;3;11.984689;0.000129
3;3;12.073269;0.000140
4;8;2.228925;0.000146
4;8;2.225342;0.000144
4;8;2.253571;0.000156
4;8;2.208054;0.000165
4;8;2.220743;0.000158
5;8;2.244003;0.000145
5;8;2.197568;0.000141
5;8;2.218355;0.000158
5;8;2.181741;0.000143
5;8;2.209093;0.000150
6;8;2.325281;0.000154
6;8;2.274116;0.000147
6;8;2.297019;0.000152
6;8;2.272688;0.000163
6;8;2.276248;0.000152
7;8;2.321734;0.000156
7;8;2.366341;0.000152
7;8;2.468701;0.000177
7;8;2.454431;0.000164
7;8;2.616736;0.000170
8;8;2.373921;0.000163
8;8;2.419040;0.000162
8;8;2.306541;0.000171
8;8;2.538483;0.000151
8;8;2.329323;0.000176
9;18;2.392262;0.000179
9;18;2.326165;0.000204
9;18;2.443048;0.000188
9;18;2.264221;0.000206
9;18;2.417432;0.000185
10;18;2.498302;0.000216
10;18;2.311692;0.000208
10;18;2.302793;0.000217
10;18;2.340041;0.000210
10;18;2.289965;0.000217
11;18;2.350876;0.000212
11;18;2.299310;0.000231
11;18;2.415615;0.000224
11;18;2.408469;0.000233
11;18;2.305309;0.000212
12;18;2.449838;0.000227
12;18;2.358243;0.000207
12;18;2.369706;0.000245
12;18;2.386403;0.000228
12;18;2.301079;0.000216
13;18;2.275549;0.000233
13;18;2.426632;0.000237
13;18;2.290651;0.000192
13;18;2.325509;0.000224
13;18;2.346997;0.000241
14;18;2.517216;0.000210
14;18;2.616680;0.000245
14;18;2.329686;0.000251
14;18;2.405265;0.000219
14;18;2.434593;0.000210
15;18;2.384519;0.000241
15;18;2.566908;0.000215
15;18;2.404536;0.000222
15;18;2.533764;0.000219
15;18;2.367549;0.000204
16;18;2.532470;0.000221
16;18;2.366150;0.000254
16;18;2.293630;0.000238
16;18;2.287775;0.000214
16;18;2.338875;0.000239
