"processes";"num_startSudokus";"solution time [s]";"sudoku_init time [s]"
1;1;10.191454;0.000126
1;1;10.156721;0.000105
1;1;10.148466;0.000099
1;1;10.204725;0.000100
1;1;10.129591;0.000100
1;1;10.111940;0.000108
1;1;10.143594;0.000101
1;1;10.121509;0.000101
1;1;10.177513;0.000101
1;1;10.168357;0.000111
2;5;10.342859;0.000117
2;5;10.561815;0.000121
2;5;10.408213;0.000120
2;5;10.217371;0.000113
2;5;10.345127;0.000110
2;5;10.396408;0.000127
2;5;10.597155;0.000133
2;5;10.496925;0.000122
2;5;10.275289;0.000114
2;5;10.421567;0.000115
3;5;10.514641;0.000118
3;5;11.282100;0.000117
3;5;10.666254;0.000127
3;5;10.763338;0.000116
3;5;10.980667;0.000119
3;5;10.814573;0.000119
3;5;10.847489;0.000118
3;5;10.895190;0.000113
3;5;10.720116;0.000122
3;5;10.536240;0.000110
4;5;10.724476;0.000129
4;5;10.860460;0.000116
4;5;10.842638;0.000138
4;5;11.109677;0.000115
4;5;10.721091;0.000118
4;5;10.749652;0.000124
4;5;11.109779;0.000120
4;5;10.765965;0.000134
4;5;10.810802;0.000118
4;5;10.778104;0.000114
5;5;5.038280;0.000134
5;5;5.122885;0.000138
5;5;5.198911;0.000168
5;5;5.174752;0.000136
5;5;5.034089;0.000120
5;5;5.049231;0.000122
5;5;5.143286;0.000127
5;5;5.003673;0.000122
5;5;5.032631;0.000136
5;5;5.158389;0.000125
6;21;0.430062;0.000150
6;21;0.440310;0.000158
6;21;0.485438;0.000154
6;21;0.452326;0.000148
6;21;0.473968;0.000167
6;21;0.417645;0.000156
6;21;0.417788;0.000151
6;21;0.476818;0.000156
6;21;0.432130;0.000148
6;21;0.443464;0.000145
7;21;4.101273;0.000153
7;21;4.330134;0.000158
7;21;4.286662;0.000169
7;21;4.131629;0.000153
7;21;4.046886;0.000163
7;21;4.268556;0.000155
7;21;4.013307;0.000149
7;21;4.186104;0.000156
7;21;4.234275;0.000156
7;21;4.347144;0.000174
8;21;4.266503;0.000159
8;21;4.351049;0.000164
8;21;4.442257;0.000169
8;21;4.262560;0.000180
8;21;4.324492;0.000150
8;21;4.313982;0.000168
8;21;4.405768;0.000161
8;21;4.190042;0.000174
8;21;4.538058;0.000176
8;21;4.194943;0.000161
9;21;4.623812;0.000177
9;21;4.551548;0.000159
9;21;4.494743;0.000163
9;21;4.459390;0.000195
9;21;4.475276;0.000170
9;21;4.554296;0.000175
9;21;4.492780;0.000165
9;21;4.494948;0.000187
9;21;4.362728;0.000184
9;21;4.556251;0.000178
10;21;3.555426;0.000196
10;21;3.549190;0.000169
10;21;3.579351;0.000153
10;21;3.476277;0.000158
10;21;3.682933;0.000192
10;21;3.637733;0.000175
10;21;3.565080;0.000183
10;21;3.695177;0.000153
10;21;3.683665;0.000172
10;21;3.640622;0.000146
11;21;0.599211;0.000187
11;21;0.588605;0.000161
11;21;0.608852;0.000192
11;21;0.599636;0.000155
11;21;0.581901;0.000164
11;21;0.579119;0.000166
11;21;0.597405;0.000156
11;21;0.572133;0.000178
11;21;0.602311;0.000171
11;21;0.593538;0.000181
12;21;0.595097;0.000204
12;21;0.612114;0.000191
12;21;0.681318;0.000179
12;21;0.618385;0.000177
12;21;0.594348;0.000164
12;21;0.630992;0.000165
12;21;0.605722;0.000193
12;21;0.611287;0.000193
12;21;0.583773;0.000175
12;21;0.582920;0.000169
13;21;0.621518;0.000194
13;21;0.613947;0.000180
13;21;0.632492;0.000187
13;21;0.619609;0.000163
13;21;0.613962;0.000176
13;21;0.621615;0.000175
13;21;0.600740;0.000238
13;21;0.630630;0.000174
13;21;0.616296;0.000173
13;21;0.629969;0.000200
14;21;0.627237;0.000187
14;21;0.617359;0.000170
14;21;0.627998;0.000195
14;21;0.617940;0.000182
14;21;0.634442;0.000201
14;21;0.644584;0.000195
14;21;0.628687;0.000194
14;21;0.628388;0.000178
14;21;0.628232;0.000165
14;21;0.642611;0.000195
15;21;0.644352;0.000180
15;21;0.649082;0.000180
15;21;0.639063;0.000180
15;21;0.638156;0.000192
15;21;0.637181;0.000180
15;21;0.652329;0.000187
15;21;0.641398;0.000183
15;21;0.653456;0.000183
15;21;0.693254;0.000178
15;21;0.703481;0.000198
16;21;0.678948;0.000204
16;21;0.695457;0.000202
16;21;0.663910;0.000232
16;21;0.724142;0.000200
16;21;0.666214;0.000171
16;21;0.688717;0.000188
16;21;0.673789;0.000188
16;21;0.696835;0.000216
16;21;0.664897;0.000176
16;21;0.748009;0.000185
